mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.361741542816162,0.06198518404432193,0.051758623123168944,0.026531737186175332,,,sqrt,1,2,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9993333333333333,1.0,0.9806666666666667,0.996551724137931,0.9510344827586207,0.9855172413793104,0.018627845935765955,189
5.689374828338623,0.5736432206031447,0.16209039688110352,0.08560987645046483,,,sqrt,1,2,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9993333333333333,1.0,0.9833333333333333,0.996551724137931,0.9589655172413792,0.9876367816091955,0.015554393328041096,31
6.505156373977661,1.4325608286523386,0.12744393348693847,0.03912131757994701,,,sqrt,1,2,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9993333333333333,1.0,0.9826666666666667,0.9965517241379311,0.96,0.9877103448275862,0.015215790311552232,27
1.0445675373077392,0.09673287265463544,0.02749357223510742,0.006286139123256659,,,sqrt,1,5,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9993333333333333,1.0,0.9813333333333332,0.9951724137931034,0.95,0.985167816091954,0.018826715486581394,243
2.573643445968628,0.23202389198420836,0.06998929977416993,0.020104553955920593,,,sqrt,1,5,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9993333333333333,1.0,0.9826666666666667,0.996551724137931,0.9593103448275861,0.9875724137931036,0.015467404686698619,34
3.938542127609253,0.6674868818787932,0.08745546340942383,0.0065647481991292144,,,sqrt,1,5,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",1.0,1.0,0.9826666666666667,0.9958620689655172,0.9620689655172414,0.988119540229885,0.014495541886222832,14
0.9892401218414306,0.18598757259798618,0.034983253479003905,0.0036042298131965427,,,sqrt,1,10,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9993333333333333,1.0,0.976,0.9931034482758622,0.9551724137931035,0.98472183908046,0.01712546845985863,315
2.603327226638794,0.39069715310429454,0.07128009796142579,0.024694691433431115,,,sqrt,1,10,500,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.9993333333333333,1.0,0.9786666666666666,0.9951724137931034,0.9586206896551724,0.9863586206896551,0.015878742527735672,102
4.2043873310089115,0.450142538617829,0.11698732376098633,0.023051011713188553,,,sqrt,1,10,800,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 800}",0.9993333333333333,1.0,0.9806666666666667,0.9944827586206896,0.9593103448275863,0.986758620689655,0.0153859649194166,83
1.2604272842407227,0.14077353953622268,0.04931883811950684,0.02842443234292909,,,sqrt,2,2,200,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9993333333333333,1.0,0.9806666666666667,0.9958620689655172,0.9537931034482758,0.9859310344827585,0.017531360647613514,134
